configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,12306466,1.51, 0.10, 0:00.37, 431, 500 , 1760.29 , 4922.59
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,7681013,8.07, 0.09, 0:01.83, 445, 500 , 281.95 , 3072.41
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,9215319,8.46, 0.15, 0:01.74, 494, 500 , 296.34 , 3686.13
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,9201571,10.54, 0.11, 0:01.90, 559, 500 , 270.57 , 3680.63
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,6370664,16.29, 0.17, 0:02.31, 710, 500 , 221.01 , 2548.27
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,6519643,9.82, 0.10, 0:01.46, 675, 500 , 354.29 , 2607.86
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9483966,8.00, 0.09, 0:01.26, 638, 500 , 413.39 , 3793.59
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9027049,8.69, 0.13, 0:01.36, 647, 500 , 382.62 , 3610.82
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,7344809,5.89, 0.08, 0:01.29, 462, 500 , 405.39 , 2937.92
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,6885096,7.31, 0.10, 0:01.38, 535, 500 , 377.80 , 2754.04
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,8864348,8.02, 0.13, 0:01.43, 568, 500 , 363.05 , 3545.74
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7828780,1.97, 0.08, 0:00.45, 448, 500 , 1246.48 , 3131.51
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,6673406,17.13, 0.16, 0:02.40, 718, 500 , 213.76 , 2669.36
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,8158210,10.92, 0.10, 0:01.75, 627, 500 , 294.16 , 3263.28
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,8127455,16.16, 0.14, 0:02.37, 687, 500 , 216.25 , 3250.98
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,7483705,8.69, 0.09, 0:01.55, 567, 500 , 334.95 , 2993.48
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,10114596,14.32, 0.11, 0:02.10, 685, 500 , 244.26 , 4045.84
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,8181126,20.64, 0.16, 0:02.92, 712, 500 , 174.70 , 3272.45
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,8163157,14.09, 0.12, 0:02.15, 659, 500 , 238.49 , 3265.26
