configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,30802961,2.7,0.25, 0:00.44,662,599,1922.9,12329.42,0.44
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,21563124,16.06,0.52, 0:01.99,831,599,326.05,8631.02,1.99
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,29777795,17.8,0.4, 0:01.84,988,599,356.0,11919.08,1.84
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,29677202,18.84,0.43, 0:01.82,1056,599,358.22,11878.82,1.82
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,16136475,23.04,0.42, 0:02.74,855,599,231.37,6458.91,2.74
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,17077710,16.65,0.31, 0:01.83,924,599,353.7,6835.65,1.83
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,26905456,15.26,0.38, 0:01.61,972,599,414.44,10769.38,1.61
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,25863172,16.81,0.39, 0:01.74,983,599,371.25,10352.19,1.74
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,20062917,13.77,0.48, 0:02.03,700,599,315.4,8030.53,2.03
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,20897592,16.38,0.46, 0:02.16,778,599,297.52,8364.63,2.16
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,30178050,17.81,0.45, 0:02.30,793,599,278.93,12079.29,2.3
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,22303136,3.37,0.33, 0:00.48,757,599,1756.41,8927.22,0.48
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,16587627,23.84,0.37, 0:02.69,899,599,235.64,6639.49,2.69
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,22020964,20.46,0.55, 0:02.61,805,599,244.68,8814.28,2.61
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,21930659,22.9,0.53, 0:02.74,854,599,231.05,8778.13,2.74
