configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,81904.30792088372
1,1,1,0,1,0,1,82988.18546996376
10,1,0,1,1,1,0,82134.26208566652
11,1,0,1,1,1,1,83891.25914320348
12,0,0,1,1,1,1,59854.46625946875
13,1,0,1,0,1,1,83329.70849101397
14,0,1,1,1,0,0,83468.88680550548
15,0,0,1,0,0,1,82964.80367540718
16,1,1,1,1,0,1,83682.82768961001
17,0,1,0,1,0,1,82746.42671968175
18,0,1,0,0,1,0,79495.23704287258
19,0,1,0,0,0,1,82738.70405705925
2,1,0,1,1,0,0,83159.69588831853
20,1,0,0,0,0,1,82414.67073443504
21,0,0,0,0,0,1,82965.38874801826
22,1,1,0,1,0,0,83691.6311549127
23,0,1,1,0,1,0,83161.42480801769
24,1,1,1,1,1,0,82285.19142209794
25,0,1,1,0,0,1,82074.54239749258
26,1,1,1,0,0,0,82662.15794192388
27,0,0,1,0,1,0,82453.09161165121
28,1,0,0,0,1,0,83558.64224893741
29,1,1,0,0,1,1,83192.61994940725
3,1,0,1,0,0,0,83833.62445956652
4,1,1,1,1,1,1,81926.79365811244
5,1,0,0,1,1,1,83051.35322629177
6,1,0,0,1,0,1,83899.44483737349
7,0,0,0,1,1,1,83291.43080268701
8,0,0,1,1,0,1,81221.55265881597
9,0,1,1,1,1,1,83790.64872898803
