configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,10.373647753885388
1,1,1,0,1,0,1,10.340054787394232
10,1,0,1,1,1,0,10.396616463538152
11,1,0,1,1,1,1,10.432652468580633
12,0,0,1,1,1,1,10.364428909196194
13,1,0,1,0,1,1,10.416765093567827
14,0,1,1,1,0,0,10.405291450986043
15,0,0,1,0,0,1,10.371493811060146
16,1,1,1,1,0,1,10.425664670274925
17,0,1,0,1,0,1,10.416684309247547
18,0,1,0,0,1,0,10.40466168875592
19,0,1,0,0,0,1,10.428881259599523
2,1,0,1,1,0,0,10.409063801079506
20,1,0,0,0,0,1,10.392149471774527
21,0,0,0,0,0,1,10.41474312260168
22,1,1,0,1,0,0,10.44397997592299
23,0,1,1,0,1,0,10.411705258643488
24,1,1,1,1,1,0,10.404999014924602
25,0,1,1,0,0,1,10.40095533632843
26,1,1,1,0,0,0,10.415612221549186
27,0,0,1,0,1,0,10.390974650360734
28,1,0,0,0,1,0,10.40769398092426
29,1,1,0,0,1,1,10.42621923864852
3,1,0,1,0,0,0,10.425035438523398
4,1,1,1,1,1,1,10.414360411299713
5,1,0,0,1,1,1,10.399953464108233
6,1,0,0,1,0,1,10.402669796570807
7,0,0,0,1,1,1,10.427749864425728
8,0,0,1,1,0,1,10.390251538972967
9,0,1,1,1,1,1,10.371604190329693
