configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,88.7820480390532
1,1,1,0,1,0,1,87.37962031134741
10,1,0,1,1,1,0,88.98215971764816
11,1,0,1,1,1,1,101.58688153741792
12,0,0,1,1,1,1,94.37586297666508
13,1,0,1,0,1,1,101.3776261403905
14,0,1,1,1,0,0,99.7731633338006
15,0,0,1,0,0,1,90.1832642227052
16,1,1,1,1,0,1,99.9686366197023
17,0,1,0,1,0,1,99.98310749404968
18,0,1,0,0,1,0,109.16563358872305
19,0,1,0,0,0,1,91.97973620186063
2,1,0,1,1,0,0,92.36631623973221
20,1,0,0,0,0,1,82.98048765280747
21,0,0,0,0,0,1,131.98125290770452
22,1,1,0,1,0,0,91.77908059224664
23,0,1,1,0,1,0,98.38595721490921
24,1,1,1,1,1,0,91.39131268910276
25,0,1,1,0,0,1,93.58045611477837
26,1,1,1,0,0,0,97.78385164227473
27,0,0,1,0,1,0,90.78695073763572
28,1,0,0,0,1,0,87.77376917773105
29,1,1,0,0,1,1,100.78023407347142
3,1,0,1,0,0,0,95.18346046502899
4,1,1,1,1,1,1,97.17169192327455
5,1,0,0,1,1,1,83.58674506472786
6,1,0,0,1,0,1,94.78252697384792
7,0,0,0,1,1,1,101.38359485691885
8,0,0,1,1,0,1,87.78717892832162
9,0,1,1,1,1,1,83.57887336700044
