configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,1393231824.6917572
1,1,1,0,1,0,1,13757912.45215725
10,1,0,1,1,1,0,13018112.3529189
11,1,0,1,1,1,1,13752875.534249688
12,0,0,1,1,1,1,1388296047.912651
13,1,0,1,0,1,1,14025650.897199815
14,0,1,1,1,0,0,1190039729.2383528
15,0,0,1,0,0,1,1391426464.2523339
16,1,1,1,1,0,1,13929738.964716725
17,0,1,0,1,0,1,1190892251.3678675
18,0,1,0,0,1,0,1191054149.5022366
19,0,1,0,0,0,1,1403527879.607624
2,1,0,1,1,0,0,13568494.892063707
20,1,0,0,0,0,1,13807090.385059213
21,0,0,0,0,0,1,1389924672.3374205
22,1,1,0,1,0,0,13906481.30624282
23,0,1,1,0,1,0,1191321262.7233407
24,1,1,1,1,1,0,13914554.903833672
25,0,1,1,0,0,1,1190331494.346562
26,1,1,1,0,0,0,14057756.954317927
27,0,0,1,0,1,0,1202041850.7939348
28,1,0,0,0,1,0,13969992.9128801
29,1,1,0,0,1,1,14071331.58280565
3,1,0,1,0,0,0,13924054.777697114
4,1,1,1,1,1,1,14015916.300473135
5,1,0,0,1,1,1,13939372.823102696
6,1,0,0,1,0,1,13901107.381133387
7,0,0,0,1,1,1,1187782963.3082554
8,0,0,1,1,0,1,1191458846.1595607
9,0,1,1,1,1,1,1191463999.2361286
