id_video,conf5,conf10,conf15,conf20,conf25,conf30
226,41,41,41,41,98,102
227,43,42,100,42,42,45
228,41,41,41,98,42,42
229,25,41,42,41,41,41
230,17,69,41,41,41,41
231,35,41,41,100,42,42
232,41,41,49,46,103,48
233,42,100,41,100,83,100
234,1,100,83,104,83,46
235,41,41,103,52,46,100
236,1,41,17,42,100,100
237,41,41,41,41,42,98
238,42,25,103,95,42,46
239,1,17,41,83,41,41
240,41,41,41,41,41,98
241,41,83,42,83,41,100
242,41,41,41,41,41,98
243,1,103,41,41,48,98
244,41,4,100,42,101,42
245,41,41,95,41,41,100
246,41,41,41,98,98,98
247,1,41,41,100,100,101
248,41,41,41,41,41,41
249,41,41,25,42,98,100
250,1,41,41,42,100,100
251,4,4,41,100,41,41
252,41,12,42,41,43,98
253,41,41,41,100,100,100
254,17,41,41,103,41,42
255,41,41,90,41,49,41
256,14,137,42,85,41,103
257,17,41,100,41,42,41
258,95,41,41,98,100,100
259,41,41,100,41,100,97
260,53,41,103,42,42,100
261,2,41,103,98,42,98
262,41,25,42,42,42,42
263,48,41,41,41,41,41
264,17,25,25,25,25,42
265,41,41,48,42,85,100
266,41,43,41,41,101,47
267,17,100,85,41,101,102
268,42,5,41,100,104,104
269,41,41,84,41,41,109
270,25,1,91,83,100,100
271,1,41,98,83,100,83
272,46,41,41,41,100,100
273,41,46,100,100,100,100
274,1,85,83,85,100,85
275,41,100,42,85,42,42
276,41,38,41,41,100,102
277,41,41,41,41,41,41
278,17,41,100,41,43,41
279,1,85,100,100,41,100
280,25,100,42,41,101,48
281,78,2,100,100,85,48
282,39,100,83,46,104,42
283,1,104,83,104,100,100
284,41,100,41,42,42,85
285,41,41,41,102,102,100
286,32,41,100,42,42,100
287,4,41,41,100,41,100
288,41,41,83,83,100,41
289,41,41,41,41,109,98
290,41,79,85,100,100,42
291,41,41,41,42,42,103
292,12,100,100,100,100,41
293,1,1,41,98,41,98
294,4,41,100,41,42,200
295,1,41,41,42,41,41
296,68,102,100,42,100,42
