id_video,conf5,conf10,conf15,conf20,conf25,conf30
0,0,3,126,38,114,154
1,84,0,0,0,48,84
2,0,33,0,0,113,113
3,0,33,0,0,0,110
4,0,0,0,0,33,111
5,0,139,66,84,67,84
6,16,0,77,33,25,84
7,0,0,1,0,0,115
8,7,0,60,91,43,93
9,0,20,0,33,44,33
10,0,10,10,10,120,1
11,0,0,44,0,0,0
12,0,39,0,33,46,55
13,0,39,2,0,48,140
14,0,0,84,0,84,150
15,0,147,23,0,25,0
16,3,3,20,0,32,77
17,0,33,0,0,33,33
18,0,13,0,84,88,120
19,47,0,47,0,0,147
20,84,1,27,44,23,84
21,33,0,124,0,47,47
22,0,0,83,6,83,44
23,2,0,111,27,0,0
24,0,0,84,0,88,137
25,5,0,53,143,0,77
26,0,0,0,0,139,0
27,0,44,0,88,0,0
28,0,22,6,47,0,153
29,0,25,0,116,113,117
30,0,115,0,44,0,0
31,0,67,16,67,33,139
32,0,66,66,88,0,66
33,1,33,33,83,0,115
34,7,0,33,0,0,33
35,0,42,119,113,47,75
36,0,84,0,0,0,113
37,0,2,2,21,67,84
38,1,0,0,55,84,84
39,0,84,0,0,0,33
40,0,0,84,172,113,0
41,6,137,0,0,0,84
42,0,142,0,0,0,83
43,127,0,0,0,0,33
44,0,0,25,44,121,0
45,0,12,0,58,99,113
46,0,0,0,25,0,84
47,10,18,84,84,138,138
48,11,0,84,46,0,84
49,144,0,73,55,33,0
50,0,25,11,113,126,83
51,16,40,12,77,36,20
52,2,83,0,0,83,84
53,12,0,0,0,84,44
54,0,5,148,0,44,66
55,0,77,0,0,0,0
56,1,33,46,33,8,164
57,0,1,0,0,0,0
58,0,0,0,0,114,33
59,12,1,0,88,12,117
60,0,22,0,77,0,44
61,46,0,157,0,47,117
62,0,43,0,84,114,114
63,174,0,168,113,66,44
64,0,0,84,0,0,55
65,0,0,0,66,0,33
66,0,44,0,44,110,122
67,0,2,39,0,39,48
68,0,21,127,33,116,33
69,0,0,0,0,122,44
70,0,0,114,0,1,84
71,2,0,0,0,138,0
72,0,0,0,25,88,25
73,0,25,23,55,138,153
74,0,8,0,33,137,66
75,0,0,0,84,125,77
76,0,0,0,0,0,84
77,44,15,46,47,46,48
78,134,131,0,0,0,25
79,0,22,84,113,84,88
80,33,159,0,44,117,0
81,8,0,84,26,48,84
82,0,20,110,67,66,48
83,10,0,0,84,66,33
84,170,1,0,44,25,113
85,0,22,0,55,84,33
86,9,0,66,121,0,0
87,0,0,67,55,84,0
88,5,1,0,0,115,84
89,0,0,0,0,0,99
90,0,0,25,0,115,0
91,0,0,0,33,0,33
92,0,0,0,0,0,0
93,2,23,33,129,7,83
94,0,88,22,1,0,40
95,0,2,0,44,0,66
96,0,0,0,0,0,0
97,11,0,0,0,55,44
98,0,0,77,0,0,44
99,0,0,0,0,110,0
100,0,0,0,0,117,0
101,118,0,0,113,114,147
102,0,120,66,84,0,46
103,0,38,0,50,33,59
104,0,0,33,0,2,0
105,0,83,44,83,33,83
106,0,0,6,126,115,20
107,1,84,0,6,84,0
108,0,157,67,0,0,83
109,33,0,33,48,0,84
110,0,115,56,0,84,84
111,0,158,17,137,3,15
112,0,1,11,80,33,143
113,0,84,121,131,1,121
114,21,0,138,7,8,84
115,0,15,83,0,83,44
116,0,44,44,0,55,44
117,33,0,44,113,44,0
118,0,0,33,0,0,0
119,0,0,123,55,0,0
120,0,0,127,0,164,66
121,0,0,77,0,0,33
122,2,84,115,0,33,55
123,0,0,0,0,84,84
124,0,0,0,84,44,84
125,0,0,55,0,0,121
