,mbtree,aq-mode,subme
video_53,-0.53,-0.44,-0.25
video_54,-0.3,-0.54,-0.32
video_55,-0.4,-0.55,-0.3
video_56,0.19,-0.64,-0.49
video_57,-0.76,-0.31,-0.11
video_58,-0.69,0.25,-0.23
video_59,-0.44,-0.42,-0.24
video_60,0.11,-0.6,-0.51
video_61,-0.52,-0.28,-0.35
video_62,-0.24,-0.58,-0.34
video_63,0.13,-0.66,-0.44
video_64,0.15,-0.62,-0.32
video_65,-0.87,0.66,-0.09
video_66,-0.6,0.14,-0.36
video_67,-0.48,-0.46,-0.27
video_68,-0.32,-0.5,-0.32
video_69,-0.56,-0.39,-0.21
video_70,0.14,-0.81,-0.33
video_71,-0.06,-0.62,-0.36
video_72,-0.62,-0.35,-0.2
video_73,-0.39,-0.39,-0.39
video_74,-0.53,-0.29,-0.4
video_75,0.37,-0.88,-0.33
video_76,-0.18,-0.63,-0.31
video_77,-0.8,0.13,-0.27
video_78,-0.73,-0.35,-0.1
video_79,-0.2,-0.53,-0.33
video_80,0.3,-0.85,-0.22
video_81,-0.72,0.07,-0.33
video_82,0.41,-0.86,-0.37
video_83,-0.06,-0.26,-0.58
video_84,-0.07,-0.43,-0.46
video_85,0.56,-0.89,-0.27
video_86,0.27,-0.79,-0.31
video_87,-0.03,-0.61,-0.36
video_88,0.12,-0.57,-0.33
video_89,-0.54,-0.11,-0.28
video_90,-0.92,0.63,-0.02
video_91,-0.86,0.5,-0.01
video_92,0.33,-0.81,-0.3
video_93,-0.6,-0.31,-0.22
video_94,-0.45,-0.28,-0.27
video_95,-0.77,0.29,-0.24
video_96,0.41,-0.83,-0.27
video_97,0.09,-0.67,-0.34
video_98,-0.16,-0.64,-0.24
video_99,0.07,-0.64,-0.32
video_100,-0.09,-0.45,-0.29
video_101,-0.4,-0.32,-0.28
video_102,-0.13,-0.48,-0.29
video_103,-0.11,-0.55,-0.33
video_104,-0.78,0.17,-0.16
video_105,-0.7,0.11,-0.31
video_106,-0.77,0.52,-0.22
video_107,-0.57,-0.18,-0.25
video_108,0.39,-0.8,-0.32
video_109,-0.61,-0.23,-0.14
video_110,-0.56,-0.41,-0.24
video_111,-0.47,-0.51,-0.1
video_112,-0.49,-0.28,-0.2
video_113,-0.7,-0.16,-0.15
video_114,-0.12,-0.54,-0.34
video_115,-0.24,-0.23,-0.43
video_116,-0.35,-0.51,-0.16
video_117,-0.14,-0.6,-0.17
video_118,-0.4,-0.3,-0.31
video_119,-0.27,-0.52,-0.14
video_120,-0.59,-0.39,-0.23
video_121,-0.35,-0.34,-0.28
video_122,-0.78,0.14,-0.16
video_123,-0.34,-0.13,-0.37
video_124,-0.67,-0.29,0.06
video_125,-0.53,-0.39,-0.27
video_126,-0.63,-0.09,-0.11
video_127,-0.03,-0.8,-0.26
video_128,-0.32,-0.53,-0.28
video_129,-0.72,-0.06,-0.2
video_130,-0.56,-0.1,-0.32
video_131,0.26,-0.87,-0.31
video_132,-0.88,0.41,0.21
video_133,-0.07,-0.58,-0.36
video_134,-0.84,0.68,0.2
video_135,0.12,-0.68,-0.33
video_136,-0.44,-0.38,-0.22
video_137,0.04,-0.67,-0.29
video_138,-0.8,0.17,-0.12
video_139,-0.63,-0.3,-0.23
video_140,-0.35,-0.38,-0.08
video_141,0.06,-0.45,-0.13
video_142,-0.34,-0.31,-0.38
video_143,-0.37,-0.44,-0.16
video_144,-0.51,-0.3,0.09
video_145,-0.27,-0.65,-0.21
video_146,-0.06,-0.75,-0.29
video_147,-0.74,0.35,-0.23
video_148,-0.39,-0.33,-0.16
video_149,-0.67,0.0,-0.17
video_150,-0.44,-0.38,-0.31
video_151,-0.35,-0.32,-0.21
video_152,-0.31,0.62,-0.25
video_153,0.13,-0.67,-0.24
video_154,0.48,-0.75,-0.34
video_155,-0.68,-0.44,0.0
video_156,0.69,-0.71,-0.19
video_157,0.05,-0.64,-0.07
video_158,0.39,-0.81,-0.19
video_159,-0.34,-0.5,0.29
video_160,0.53,-0.84,-0.29
video_161,-0.45,0.49,-0.3
video_162,-0.56,-0.3,-0.21
video_163,-0.71,-0.07,-0.21
video_164,-0.76,0.13,-0.13
video_165,0.74,-0.72,-0.17
video_166,0.5,-0.81,-0.22
video_167,-0.65,0.09,-0.25
video_168,-0.56,-0.22,-0.4
video_169,0.46,-0.89,-0.16
video_170,-0.26,-0.55,-0.38
video_171,0.37,-0.75,-0.43
video_172,-0.57,0.03,-0.46
video_173,-0.0,-0.81,-0.2
video_174,-0.06,-0.53,-0.42
video_175,-0.02,-0.64,-0.33
video_176,-0.81,0.08,-0.19
video_177,0.5,-0.88,-0.21
video_178,0.33,-0.52,-0.36
video_179,-0.56,-0.23,-0.24
video_180,-0.02,-0.55,-0.4
video_181,-0.42,-0.46,-0.16
video_182,-0.2,-0.66,-0.24
video_183,-0.48,-0.39,-0.29
video_184,-0.19,-0.53,-0.34
video_185,-0.75,0.32,-0.28
video_186,-0.31,-0.53,-0.33
video_187,-0.41,0.51,-0.19
video_188,0.08,-0.83,-0.25
video_189,0.22,-0.79,-0.31
video_190,0.1,-0.61,-0.41
video_191,-0.79,0.55,0.06
video_192,-0.43,-0.27,-0.4
video_193,-0.39,-0.46,-0.25
video_194,0.54,-0.85,-0.23
video_195,0.05,-0.68,-0.3
video_196,0.21,-0.55,-0.44
video_197,-0.56,-0.01,-0.29
video_198,0.08,-0.6,-0.36
video_199,-0.45,0.53,-0.15
video_200,0.57,-0.87,-0.24
video_201,-0.29,-0.62,-0.21
video_202,0.04,-0.78,-0.27
video_203,-0.15,-0.6,-0.4
video_204,-0.29,-0.51,-0.3
video_205,-0.21,-0.46,-0.37
video_206,0.7,-0.84,-0.22
video_207,0.22,-0.69,-0.52
video_208,0.51,-0.79,-0.25
video_209,0.87,-0.71,-0.27
video_210,0.4,-0.89,-0.27
video_211,-0.25,-0.5,-0.4
video_212,-0.61,-0.22,-0.28
video_213,-0.38,-0.17,-0.51
video_214,-0.56,-0.01,-0.27
video_215,-0.14,-0.64,-0.34
video_216,-0.8,0.15,-0.26
video_217,-0.73,0.17,-0.3
video_218,-0.32,-0.57,-0.29
video_219,-0.33,-0.55,-0.31
video_220,-0.83,0.6,-0.15
video_221,-0.65,-0.23,-0.19
video_222,-0.48,-0.35,-0.25
