,inputs,accuracy
0,Animation_1080P-01b3.csv,114.19871723280544
1,Animation_1080P-05f8.csv,114.67007816060581
2,Animation_1080P-0c4f.csv,55.78707548362822
3,Animation_1080P-0cdf.csv,42.70006974476665
4,Animation_1080P-18f5.csv,62.035436003107954
5,Animation_1080P-209f.csv,26.13143555443806
6,Animation_1080P-21dd.csv,147.7045310258373
7,Animation_1080P-2fbe.csv,29.065309667956576
8,Animation_1080P-2fff.csv,51.19351329018857
9,Animation_1080P-3d67.csv,46.74088733507146
10,Animation_1080P-3dbf.csv,64.85696125355919
11,Animation_1080P-3e01.csv,49.76985584655461
12,Animation_1080P-4214.csv,31.60950280103135
13,Animation_1080P-4be3.csv,112.79944112799599
14,Animation_1080P-4ea8.csv,89.43519750329101
15,Animation_1080P-5083.csv,43.332799374675446
16,Animation_1080P-58d3.csv,38.41233213446556
17,Animation_1080P-5dd8.csv,91.85619859226028
18,Animation_1080P-646f.csv,15.924862731262028
19,Animation_1080P-66ba.csv,48.89130548089802
20,Animation_1080P-6a33.csv,25.51789319099357
21,Animation_1080P-6ec0.csv,65.82443548942658
22,Animation_1080P-7f27.csv,50.18312147503934
23,Animation_2160P-41dc.csv,98.24139884666879
24,Animation_2160P-6f3b.csv,23.426549699940114
25,Animation_360P-08c9.csv,41.96416677253101
26,Animation_360P-188f.csv,137.9466253345361
27,Animation_360P-24d4.csv,39.570675397664175
28,Animation_360P-3e40.csv,20.792185514305327
29,Animation_360P-3e52.csv,534.1524407771437
30,Animation_360P-47cc.csv,261.0410004118148
31,Animation_360P-4b4c.csv,190.78783072732003
32,Animation_360P-4edc.csv,37.37018864623088
33,Animation_360P-5712.csv,29.52421095799749
34,Animation_360P-5de0.csv,418.0421049410197
35,Animation_360P-631c.csv,23.663404304870888
36,Animation_360P-69e0.csv,59.24102447322095
37,Animation_360P-7856.csv,97.59978750554686
38,Animation_360P-794f.csv,28.11627170320301
39,Animation_480P-046c.csv,63.5347429672079
