,configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,frames,cpu,fps,kbs,etime,size
649,540,False,False,True,True,True,False,False,False,60.0,5.0,1374,565.4,1059.1150000000002,262.76000000000005,1.312,1505821.0
650,54,False,False,True,True,True,True,False,False,40.0,1.0,1374,725.9,1822.08,280.84000000000003,0.764,1609412.0
651,541,True,False,True,True,True,True,False,False,20.0,1.0,1374,746.0,2002.7040000000002,272.90999999999997,0.695,1563973.0
652,542,True,False,True,False,False,True,True,False,60.0,1.0,1374,732.3,1913.2810000000002,268.14,0.731,1536615.0
653,543,False,False,True,True,False,False,True,True,40.0,1.0,1374,595.1,1432.352,266.05000000000007,0.97,1524661.0
654,544,False,False,False,False,True,False,False,True,20.0,9.0,1374,608.9,940.3970000000002,224.31,1.467,1285439.0
655,545,False,False,False,False,True,False,False,True,20.0,5.0,1374,613.1,1197.532,228.26000000000005,1.1549999999999998,1308117.0
656,546,False,False,True,True,True,False,True,False,40.0,1.0,1374,595.6,1480.6150000000002,266.34000000000003,0.9410000000000001,1526293.0
657,547,False,False,False,False,True,False,False,True,20.0,1.0,1374,638.8,1615.4260000000002,234.42,0.857,1343408.0
658,548,True,False,False,False,True,True,False,True,20.0,5.0,1374,663.9,1316.249,241.6,1.0470000000000002,1384518.0
659,549,True,False,False,False,True,True,False,True,20.0,9.0,1374,640.8,994.5070000000002,237.4,1.387,1360501.0
660,550,True,False,False,True,True,True,True,False,60.0,5.0,1374,742.0,1653.734,248.92999999999998,0.835,1426554.0
661,55,True,False,False,False,True,False,False,True,20.0,9.0,1374,619.2,971.3969999999999,217.22999999999996,1.423,1244858.0
662,551,True,False,True,False,False,True,True,False,60.0,5.0,1374,715.2,1586.158,266.01000000000005,0.8789999999999999,1524403.0
663,552,True,False,True,True,True,True,False,False,20.0,9.0,1374,625.6,952.9040000000001,260.64,1.4540000000000002,1493673.0
664,553,True,False,False,True,True,True,True,False,60.0,9.0,1374,746.0,1361.264,246.08,1.017,1410202.0
665,554,True,False,False,True,False,False,True,True,60.0,1.0,1374,576.0,1384.748,244.88000000000002,1.001,1403355.0
666,555,True,False,True,False,False,True,True,False,60.0,9.0,1374,735.4,1355.8700000000001,262.7200000000001,1.024,1505585.0
667,556,True,False,False,True,False,False,True,False,40.0,5.0,1374,649.7,1444.0729999999999,237.65,0.959,1361933.0
668,557,False,False,True,False,True,True,True,False,60.0,5.0,1374,699.7,1480.29,274.23999999999995,0.9410000000000001,1571603.0
669,558,True,False,False,True,False,False,False,False,60.0,9.0,1374,593.4,907.32,231.95999999999998,1.526,1329314.0
670,559,True,False,False,True,False,False,True,False,40.0,9.0,1374,689.9,1274.2069999999999,234.31,1.088,1342777.0
671,560,True,False,False,True,True,True,False,False,60.0,1.0,1374,767.5,1997.4919999999997,251.58,0.6930000000000001,1441757.0
672,56,True,False,True,True,True,False,False,False,40.0,9.0,1374,586.1,925.665,248.04000000000002,1.498,1421462.0
673,561,False,False,True,False,True,True,True,False,60.0,9.0,1374,715.8,1273.282,270.98,1.09,1552901.0
674,562,True,False,False,True,False,False,False,False,60.0,5.0,1374,590.0,1147.558,236.58,1.206,1355756.0
675,563,True,False,False,True,False,False,False,False,60.0,1.0,1374,580.7,1418.8089999999997,244.9,0.975,1403473.0
676,564,True,False,False,True,False,False,True,False,40.0,1.0,1374,603.9,1505.8560000000002,241.11000000000004,0.9189999999999999,1381756.0
677,565,False,False,True,False,True,True,True,True,40.0,5.0,1374,700.6,1500.9540000000002,274.40999999999997,0.9280000000000002,1572595.0
678,566,False,False,True,False,False,False,True,False,60.0,1.0,1374,568.7,1354.236,266.09000000000003,1.03,1524912.0
679,567,False,False,True,True,True,False,True,True,60.0,5.0,1374,590.3,1217.9799999999998,267.55000000000007,1.142,1533274.0
680,568,False,False,True,False,False,False,True,False,60.0,5.0,1374,599.5,1255.986,262.65,1.109,1505176.0
681,569,False,False,True,True,True,False,True,True,60.0,9.0,1374,628.4,1103.66,263.83,1.259,1511915.0
682,570,False,False,True,True,True,False,False,False,20.0,5.0,1374,597.9,1159.52,247.78000000000003,1.198,1419980.0
683,57,True,False,True,True,True,False,True,False,20.0,5.0,1374,654.7,1478.4379999999999,246.42,0.9399999999999998,1412160.0
684,571,False,False,True,False,False,False,True,False,60.0,9.0,1374,635.4,1113.244,259.15,1.25,1485122.0
685,572,False,False,True,True,True,False,False,False,20.0,9.0,1374,595.0,917.0379999999999,243.11999999999998,1.512,1393268.0
686,573,False,False,True,True,True,False,True,True,60.0,1.0,1374,566.0,1348.3079999999998,270.42,1.0330000000000001,1549706.0
687,574,False,False,True,True,True,False,False,False,40.0,1.0,1374,594.4,1448.152,266.34000000000003,0.962,1526293.0
688,575,True,False,True,True,True,True,False,False,40.0,9.0,1374,628.0,960.1119999999999,260.64,1.444,1493673.0
689,576,True,False,False,False,True,True,True,True,60.0,1.0,1374,766.4,2029.1829999999998,248.54000000000002,0.6799999999999999,1424321.0
690,577,True,False,True,True,True,True,True,False,20.0,5.0,1374,724.7,1632.084,270.0,0.852,1547320.0
691,578,False,False,True,True,True,False,False,False,40.0,5.0,1374,579.7,1098.0710000000004,259.1,1.2650000000000001,1484834.0
692,579,True,False,True,True,True,True,True,False,20.0,1.0,1374,741.4,1961.8849999999998,272.90999999999997,0.7089999999999999,1563973.0
693,580,True,False,True,True,True,True,False,False,40.0,5.0,1374,647.4,1287.434,265.40999999999997,1.0799999999999998,1520979.0
694,58,True,False,True,False,True,True,False,False,40.0,5.0,1374,642.5,1248.486,262.14,1.1119999999999999,1502253.0
695,581,False,False,True,True,True,False,True,False,20.0,1.0,1374,629.0,1610.59,254.28000000000003,0.8640000000000001,1457235.0
696,582,True,False,True,True,True,True,False,False,40.0,1.0,1374,741.0,1953.0330000000001,272.90999999999997,0.7129999999999999,1563973.0
697,583,True,False,False,True,True,True,True,False,40.0,9.0,1374,750.5,1360.568,246.08,1.016,1410202.0
698,584,True,False,True,True,True,True,True,True,60.0,9.0,1374,738.7,1371.056,266.94,1.012,1529735.0
699,585,True,False,True,True,True,True,True,True,60.0,5.0,1374,717.6,1584.4009999999998,270.0,0.8789999999999999,1547306.0
700,586,True,False,False,True,True,True,False,False,60.0,5.0,1374,657.3,1287.7979999999998,243.80000000000004,1.072,1397124.0
701,587,False,False,True,False,True,True,True,True,40.0,1.0,1374,727.1,1855.1829999999998,276.7200000000001,0.752,1585834.0
702,588,True,False,False,True,True,True,True,False,40.0,1.0,1374,762.0,2011.3650000000002,251.58,0.689,1441757.0
703,589,True,False,True,True,True,True,True,True,60.0,1.0,1374,742.4,1981.1629999999998,273.0299999999999,0.704,1564638.0
704,590,True,False,False,True,True,True,False,False,60.0,9.0,1374,638.1,977.106,239.98999999999995,1.4129999999999998,1375313.0
705,59,True,False,False,False,True,False,False,True,20.0,5.0,1374,624.1,1249.921,221.31,1.105,1268283.0
706,591,True,False,False,True,True,True,True,False,40.0,5.0,1374,740.3,1636.1409999999998,248.92999999999998,0.845,1426554.0
707,592,True,False,True,True,True,True,True,False,20.0,9.0,1374,730.7,1343.1259999999997,267.14,1.039,1530932.0
708,593,False,False,False,True,False,True,False,True,60.0,1.0,1374,728.7,1772.791,261.69,0.7790000000000001,1499657.0
709,594,True,False,False,True,False,False,True,False,20.0,5.0,1374,682.1,1547.0,227.19,0.8949999999999999,1301951.0
710,595,False,False,False,True,False,True,True,True,40.0,1.0,1374,733.1,1791.3100000000002,261.69,0.772,1499657.0
711,596,False,False,False,True,False,True,False,True,60.0,5.0,1374,645.9,1217.3,253.69,1.134,1453836.0
712,597,True,False,False,True,False,False,True,False,20.0,9.0,1374,706.7,1311.723,224.6,1.0539999999999998,1287147.0
713,598,False,False,True,True,True,True,False,True,40.0,9.0,1374,621.6,930.8390000000002,268.57000000000005,1.488,1539121.0
714,599,False,False,False,True,True,False,False,False,40.0,5.0,1374,594.1,1125.632,240.86000000000004,1.2280000000000002,1380331.0
715,600,True,False,False,True,False,False,False,False,40.0,9.0,1374,608.3,946.827,228.61999999999998,1.459,1310176.0
716,60,True,False,True,True,True,False,True,False,20.0,1.0,1374,620.0,1660.3229999999999,249.53000000000003,0.8399999999999999,1430009.0
717,6,False,False,True,False,True,False,False,False,60.0,5.0,1374,561.7,1035.0639999999999,259.6,1.344,1487719.0
